method,n_runs,n_success,success_rate,mean,std,min,max,median,q1,q3,iqr
GA,100,100,1.0,273877.7971150747,315211.13990500994,93645.7686972524,1202849.5458133102,168770.16135572142,142245.59541912365,197688.97209306783,55443.37667394418
GWO,100,100,1.0,412565.3423155427,499264.5847262713,70508.76768533219,2162432.1919894153,163771.29089415132,134810.93057047442,347944.24009193364,213133.30952145922
EGWWOA,100,100,1.0,164632.76219510293,31968.98606193073,98128.83635875791,254913.4806981332,163868.40197257826,144758.56314865287,181374.53434862106,36615.97119996819
WOA,100,100,1.0,171810.95297312338,102468.45525420461,97086.99853381953,1133831.8749985301,158632.25152044249,142758.19697729067,182285.3454042255,39527.148426934815
HS,100,100,1.0,1263119.749952458,977144.4323166581,144692.50581583678,3768567.7631095643,1230263.2027641304,298686.7410917889,2167126.218868885,1868439.4777770962
FPA,100,100,1.0,166005.98240911876,42647.352701289616,94862.7507246895,435282.12187803927,159662.04545630433,142352.2953489045,185672.36725596862,43320.07190706412
PSO,100,100,1.0,248136.3259662364,273480.71978814213,93448.2573593225,1193302.2015157172,163038.40889005925,141139.57620505063,205160.24040168893,64020.6641966383
CSO,100,100,1.0,497554.81198542746,533479.6775862488,96814.6057949544,2177005.179100123,184144.1546515013,150758.10666204168,1138198.805430168,987440.6987681263
BFO,100,100,1.0,1343895.3125543315,897193.9023838128,162274.0446517974,4187102.0363786034,1242685.2681093211,559069.9667822598,1785833.7186032657,1226763.751821006
FSS,100,100,1.0,194490.6527441683,103393.71825880867,98386.07491613664,1153724.883753484,183440.50255154198,161983.64197695427,204688.47093296525,42704.828956010984
Mayfly,100,100,1.0,361850.33081580227,500844.1031448418,101181.34860070913,3102524.1572955134,202360.84431135788,169450.7238550109,251096.09300846283,81645.36915345193
PFA,100,100,1.0,280832.21533663047,179099.63191265566,119379.41687608385,1254041.972652853,252731.80337744037,212298.16104623931,255343.0923145521,43044.931268312794
HOA,100,100,1.0,2135171.8200905584,1209296.778671971,148181.33157840246,5447620.285294527,2224962.0796069107,1328224.2642943286,2812935.0522354837,1484710.787941155
APO,100,100,1.0,254936.1094740509,279555.480057565,92985.58227639098,2081704.5376566916,190335.28176475313,167334.92400104328,221272.73633139933,53937.81233035604
TTA,100,100,1.0,1226583.0618239813,1055970.7889136567,120521.9787176859,4576332.177091945,1177721.64540121,216765.8095395713,2166690.1942120995,1949924.3846725281
CPSO,100,100,1.0,277258.9934398493,314136.6767924876,93594.60153950422,1233109.536768954,170644.42015546,143436.4710678246,202532.00851932584,59095.53745150124
