method,n_runs,mean,std,mean_ci_lo,mean_ci_hi,median,median_ci_lo,median_ci_hi,q1,q3,iqr,min,max
GA,100,273877.7971150747,315211.13990500994,216430.01679613726,341342.6371801851,168770.16135572142,158961.18831168188,178736.39081968056,142245.59541912365,197688.97209306783,55443.37667394418,93645.7686972524,1202849.5458133102
GWO,100,412565.3423155427,499264.5847262713,321888.53070030326,515589.69830258057,163771.29089415132,148080.4318087231,196770.9932287213,134810.93057047442,347944.24009193364,213133.30952145922,70508.76768533219,2162432.1919894153
EGWWOA,100,164632.76219510293,31968.98606193073,158369.9091466536,170879.0200256649,163868.40197257826,156276.59289332945,169905.69874906715,144758.56314865287,181374.53434862106,36615.97119996819,98128.83635875791,254913.4806981332
WOA,100,171810.95297312338,102468.45525420461,157290.93070837148,194904.34977980706,158632.25152044249,151082.5194211061,167908.89804983683,142758.19697729067,182285.3454042255,39527.148426934815,97086.99853381953,1133831.8749985301
HS,100,1263119.749952458,977144.4323166581,1080444.6061046713,1455082.9639882136,1230263.2027641304,1132486.057555137,1317682.2260977863,298686.7410917889,2167126.218868885,1868439.4777770962,144692.50581583678,3768567.7631095643
FPA,100,166005.98240911876,42647.352701289616,158393.74210170333,175112.8150882723,159662.04545630433,153527.19108219634,169860.01064546648,142352.2953489045,185672.36725596862,43320.07190706412,94862.7507246895,435282.12187803927
PSO,100,248136.3259662364,273480.71978814213,200266.7433934797,304681.7093075137,163038.40889005925,155120.02742419983,174602.96536810548,141139.57620505063,205160.24040168893,64020.6641966383,93448.2573593225,1193302.2015157172
CSO,100,497554.81198542746,533479.6775862488,394515.65894194844,600611.2297017836,184144.1546515013,171670.32179746125,197166.34420084563,150758.10666204168,1138198.805430168,987440.6987681263,96814.6057949544,2177005.179100123
BFO,100,1343895.3125543315,897193.9023838128,1168362.5786516753,1514067.495685376,1242685.2681093211,1215716.467841295,1340826.6520011872,559069.9667822598,1785833.7186032657,1226763.751821006,162274.0446517974,4187102.0363786034
FSS,100,194490.6527441683,103393.71825880867,179476.91871109811,218374.72249034484,183440.50255154198,172484.68010676873,194795.90799207694,161983.64197695427,204688.47093296525,42704.828956010984,98386.07491613664,1153724.883753484
Mayfly,100,361850.33081580227,500844.1031448418,271924.3525522493,466072.6078602144,202360.84431135788,187979.67523118638,224339.25653424865,169450.7238550109,251096.09300846283,81645.36915345193,101181.34860070913,3102524.1572955134
PFA,100,280832.21533663047,179099.63191265566,248717.8757056627,318965.43450716964,252731.80337744037,249474.11139414698,254475.35299541109,212298.16104623931,255343.0923145521,43044.931268312794,119379.41687608385,1254041.972652853
HOA,100,2135171.8200905584,1209296.778671971,1902681.6778471877,2365077.954183349,2224962.0796069107,1715365.0111231692,2344702.7674638284,1328224.2642943286,2812935.0522354837,1484710.787941155,148181.33157840246,5447620.285294527
APO,100,254936.1094740509,279555.480057565,207283.28001828628,315149.34419700876,190335.28176475313,182797.09839781292,197787.5079444459,167334.92400104328,221272.73633139933,53937.81233035604,92985.58227639098,2081704.5376566916
TTA,100,1226583.0618239813,1055970.7889136567,1028975.2165759301,1441629.5034932424,1177721.64540121,1141281.6997140413,1210735.6005900872,216765.8095395713,2166690.1942120995,1949924.3846725281,120521.9787176859,4576332.177091945
CPSO,100,277258.9934398493,314136.6767924876,221567.17361906482,342321.9882308115,170644.42015546,158366.76532181888,181065.82812984867,143436.4710678246,202532.00851932584,59095.53745150124,93594.60153950422,1233109.536768954
