method,n_runs,mean_time_s,std_time_s,mean_evals,std_evals,total_evals,s_per_eval_mean,evals_per_s_mean
GA,100,0.313129,0.029327,1530.0,0.0,153000,2.046593e-04,4886.169
GWO,100,0.308697,0.034278,1530.0,0.0,153000,2.017629e-04,4956.313
EGW-WOA,100,0.298186,0.027857,1530.0,0.0,153000,1.948929e-04,5131.023
WOA,100,0.293043,0.029601,1530.0,0.0,153000,1.915311e-04,5221.085
HS,100,0.018580,0.003953,80.0,0.0,8000,2.322503e-04,4305.699
FPA,100,0.292721,0.030037,1530.0,0.0,153000,1.913209e-04,5226.822
PSO,100,0.258921,0.040307,1530.0,0.0,153000,1.692296e-04,5909.132
CSO,100,0.657393,0.065588,3776.8,81.1,377685,1.740586e-04,5745.191
BFO,100,0.114644,0.014670,677.0,24.1,67696,1.693513e-04,5904.885
FSS,100,0.540103,0.040738,3030.0,0.0,303000,1.782519e-04,5610.039
Mayfly,100,0.322406,0.037971,1782.5,13.6,178255,1.808676e-04,5528.906
PFA,100,0.287558,0.021312,1530.0,0.0,153000,1.879466e-04,5320.661
HOA,100,0.280089,0.029197,1530.0,0.0,153000,1.830646e-04,5462.553
APO,100,0.276790,0.030203,1530.0,0.0,153000,1.809086e-04,5527.652
TTA,100,0.288647,0.026273,1530.0,0.0,153000,1.886580e-04,5300.598
CPSO,100,0.259009,0.029889,1560.0,0.0,156000,1.660316e-04,6022.949
